job_id,job_title,job_text_snippet,job_text_raw,required_skills,selected_count,mean_selected_score,budget_used,budget_slack,budget_utilisation,selected_coverage,topk_score_coverage,coverage_gain_vs_topk,selected_resume_ids,topk_score_resume_ids,excluded_topk_resume_ids,selected_beyond_topk_resume_ids,selected_covered_skills,topk_score_covered_skills,selected_missing_required_skills,topk_missing_required_skills,high_score_not_selected,time_budget_tight,skill_tradeoff,selected_equals_topk,case_explanation
0,Backend Developer,"Looking for the most motivated Backend developer who have experience in building Api's to develop an Api for the web app and also for the Mobile App. Candidate must have atleast 1-3 years of experience in Laravel, Node.js, Docker, WebRtc, Socket.io, Aws Gateway Api to develop an Api. PostgrSql, MongoDB, DynamoDB for the database Send me your resume if you are matching our requirements at info[@]yautiktechnology.com with your Current CTC? Expected CTC? How soon you can join? Responsibilities Deve...","Looking for the most motivated Backend developer who have experience in building Api's to develop an Api for the web app and also for the Mobile App. Candidate must have atleast 1-3 years of experience in Laravel, Node.js, Docker, WebRtc, Socket.io, Aws Gateway Api to develop an Api. PostgrSql, MongoDB, DynamoDB for the database
Send me your resume if you are matching our requirements at info[@]yautiktechnology.com
with your
Current CTC?
Expected CTC?
How soon you can join?
Responsibilities
Develop an api laravel, deploy the code in AWS
Ensure the technical feasibility
Job Type: Full-time
Salary: ₹30,000.00 - ₹50,000.00 per month
Experience:
Docker: 1 year (Preferred)
Node.js: 1 year (Preferred)
PostgreSql: 2 years (Preferred)
javaLaravel: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19","['docker', 'laravel', 'mongodb', 'node.js', 'postgresql']",5,0.754261401501869,62.019499999999994,2.9805000000000064,0.9541461538461538,1.0,0.8,0.2,"[231, 174, 304, 299, 494]","[92, 231, 392, 223, 174]","[92, 392, 223]","[304, 299, 494]","['docker', 'laravel', 'mongodb', 'node.js', 'postgresql']","['docker', 'mongodb', 'node.js', 'postgresql']",[],['laravel'],1,1,1,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
1,Backend Developer,"Basic Info Location Bangalore, Karnataka, India Job type Full-Time Contract Regular/Permanent Take the next step in your career at ABB, working in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy. ABB Global Industries and Services Private Limited (GISPL) is a company which has 4 business areas to support ABB projects globally. We have 2000 employees as a part of this company serving in the areas of Research, Development, ...","Basic Info
Location
Bangalore, Karnataka, India
Job type
Full-Time
Contract
Regular/Permanent
Take the next step in your career at ABB, working in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.

ABB Global Industries and Services Private Limited (GISPL) is a company which has 4 business areas to support ABB projects globally. We have 2000 employees as a part of this company serving in the areas of Research, Development, Engineering center and Regional ERP support center which contributes to ABB's 4 business areas globally. In 2015 the company name was registered as ABB Global Industries and Services Private Limited (GISPL).

ABB Motion is a pioneering technology leader, driving innovation in motion industries. We keep the world turning, while saving energy every day. Our motors and drives are an integral part of everyone's lives, writing the future of smart motion.

This is a Backend Web Developer role, reporting Division R&D Manager in Business Area – Motion located in Bangalore. You will involve in contributing to your ideas to identifying, proposing, and implementing innovative technology development and solutions.

Your responsibilities
Architecting, designing, coding and unit testing of software modules based on the requirements.
Developing existing systems by analyzing and identifying areas for improvements.
Maintaining systems by identifying and correcting software defects.
Creating design/architecture documents, technical specifications, and test cases in line with quality systems.
Providing estimates for work on the effort, scheduling to project manager and actively participating in preparing detailed project documentation.
Reviewing and coaching team members by investigating new technologies.
Consulting internal - external stakeholders concerning the maintenance and performance of software systems, implementing software solutions.
Living ABB’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background
Bachelor's or master’s degree in computer science, electronics, electrical, instrumentation engineering or equivalent.
6-8 years of experience on advanced C#, .NET, .NET Core, WebAPI, Unit Testing (Nunit/Xunit), XML, LINQ , design patterns with minimum 1 year of experience in Azure and cloud development.
Strong concepts of Object-oriented Programming System (OOPS), TypeScript, HTML,CSS and Bootstrap.
Experience in Azure DevOps continuous integration, configuration management.
Good knowledge on using entity framework/ entity framework core.
Good knowledge of SQL server and database scripting.
Good understanding of Azure DevOps.
Good to have experience in Azure pipelines and deployments.
More about us

Bring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution – creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let’s write the future, together.
Important, please include in your CV the following passage:
“I hereby agree for my personal data, included in my job application, to be processed in line with the needs of recruitment, in accordance with the Law on Personal Data Protection of 29th August 1997 (Law Gazette from 2002, No.101, heading 926, as amended).”

Reference Number
IN76077323_E2
Publication date
2020-11-05","['bootstrap', 'devops', 'sql server', 'testing', 'typescript']",5,0.756292448000443,61.594,3.405999999999999,0.9476,1.0,1.0,0.0,"[68, 426, 463, 264, 108]","[68, 426, 253, 463, 325]","[253, 325]","[264, 108]","['bootstrap', 'devops', 'sql server', 'testing', 'typescript']","['bootstrap', 'devops', 'sql server', 'testing', 'typescript']",[],[],1,0,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
2,Backend Developer,Job Title: Senior Backend Developer (RoR) We are an outsourcing company working for clients based around the world. We are looking for a Ruby on Rails developer responsible for the development and maintenance of a cross-platform application at an innovative startup. Your primary focus will be the development of the core backend engine and its integration with multiple frontends across mobile and web. You will be working alongside other engineers and developers working on different layers of the ...,"Job Title: Senior Backend Developer (RoR)
We are an outsourcing company working for clients based around the world. We are looking for a Ruby on Rails developer responsible for the development and maintenance of a cross-platform application at an innovative startup.
Your primary focus will be the development of the core backend engine and its integration with multiple frontends across mobile and web. You will be working alongside other engineers and developers working on different layers of the infrastructure. You will be part of a startup environment with a small, agile team that moves fast and uses cutting-edge technologies, tools, and processes. Therefore, a commitment to collaborative problem solving, sophisticated design, and the creation of quality products are essential.
Responsibilities :
Development, delivery, and maintenance of platform functionality and features.
Development, delivery and maintenance of APIs exposing platform functionality.
Design and build applications using the Ruby on Rails framework and related technologies.
Improving code quality and maintainability by staying up-to-date on new technologies and development approaches.
Ensure the performance, quality, and responsiveness of the application.
Ensure that the platform is safe, secure, and compatible with the latest devices and OS versions.
Provide support for the development of multiple projects and devise solutions that are maintainable and scalable.
Identify, diagnose, and resolve production issues.
Identify opportunities for process and tool improvements, and perform the implementation.
Maintain transparent communication with team members and collaborate towards overcoming challenging hurdles.
Brainstorm, contribute new ideas, conceive innovative strategies, Identify and correct bottlenecks, and fix bugs.
Always be learning and working towards mastering your craft
Skills Required :
Minimum 5 years of experience in object-oriented backend development.
Minimum 3 years of experience building Ruby on Rails applications from scratch
Minimum 2 years of experience developing and maintaining APIs
Strong understanding of database design and Object Relational Mapping concepts
Experience building and extending data models in a low-complexity way using all types of ActiveRecord associations
Understanding of common Rails design patterns
Knowledge of the Rails ecosystem and the libraries available for common tasks
Solid understanding of agile application development lifecycle
Experience in web service and API integration (REST, JSON, and similar)
Excellent understanding of code versioning tools, such as Git.
Experience with network communications on mobile platforms, handling synchronous and asynchronous web service calls.
Must have developed Rails apps connected with mobile frontends
Experience with automated test suites using frameworks such as RSpec, Capybara, Cucumber, etc.
Experience with data migrations between different database technologies and schemas
Familiarity with cloud message APIs and push notifications.
Familiarity with building location aware apps, geofencing, Google Maps API integrations.
Familiarity with audio streaming
Familiarity with audio encoding and conversion of audio formats.
Programming Languages needed:
Ruby (Required)
HTML/CSS/Javascript (Preferred)
Job Type: Full-time
Salary: ₹75,000.00 - ₹100,000.00 per month
Schedule:
Day shift
Evening shift
Morning shift
Education:
Bachelor's (Preferred)
Experience:
total work: 5 years (Preferred)
Ruby on rails: 3 years (Preferred)
Work Remotely:
Yes","['agile', 'api', 'rail', 'rest', 'ruby']",5,0.7675358385380664,63.537499999999994,1.4625000000000057,0.9774999999999999,1.0,1.0,0.0,"[233, 4, 412, 383, 21]","[233, 4, 499, 320, 47]","[499, 320, 47]","[412, 383, 21]","['agile', 'api', 'rail', 'rest', 'ruby']","['agile', 'api', 'rail', 'rest', 'ruby']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
3,Backend Developer,"We are looking to hire an Angular developer who can contribute to building and scaling our product and internal applications. Job responsibilities include: B.Tech or equivalent in Computer Science Strong 1 to 2 years of work experience Strong experience in CSS3, Javascript, HTML5, JSON Strong background in Angular 5+ Familiarity with CSS preprocessors such as SASS, Stylus, Less, etc. Familiarity with responsive web design Solid grasp of RESTful web services, APIs and Webhooks Strong understandin...","We are looking to hire an Angular developer who can contribute to building and scaling our product and internal applications.
Job responsibilities include:
B.Tech or equivalent in Computer Science
Strong 1 to 2 years of work experience
Strong experience in CSS3, Javascript, HTML5, JSON
Strong background in Angular 5+
Familiarity with CSS preprocessors such as SASS, Stylus, Less, etc.
Familiarity with responsive web design
Solid grasp of RESTful web services, APIs and Webhooks
Strong understanding of a decoupled frontend and backend system architecture
Experience in the successful implementation of a large scale web application
Working experience with Git, Docker, a node package manager(NPM)
Interest in working in a startup environment
Self Driven initiation in building new product features and Designs
Excellent verbal and written communication skills
Creative thinker with excellent analytical, troubleshooting, and debugging skills
Experience working in Ubuntu operating system
Job Type: Full-time
Salary: ₹200,000.00 - ₹455,000.00 per year
Schedule:
Monday to Friday
Experience:
Programming / HTML: 3 years (Required)
total work: 2 years (Required)
javascript: 2 years (Required)
AngularJS: 2 years (Required)
Work Remotely:
Temporarily due to COVID-19","['angular', 'css', 'docker', 'git', 'html']",5,0.7285788291869796,59.731,5.268999999999998,0.9189384615384616,1.0,1.0,0.0,"[235, 478, 15, 93, 124]","[235, 478, 190, 497, 15]","[190, 497]","[93, 124]","['angular', 'css', 'docker', 'git', 'html']","['angular', 'css', 'docker', 'git', 'html']",[],[],1,0,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
4,Backend Developer,"Experience range - 2 - 5 Yrs experience Salary Range - 15 - 25 Lakhs Notice Period - Less than 30 days. Tech Stack - Java, SpringBoot, Kafka, Elastic Search, MySql, AWS etc GlowRoad has 2 days work from office on Monday and Friday. Hence, no remote work from home option. About GlowRoad: Glowroad is building India’s most profitable social e-commerce platform where resellers share the catalog of products through their network on Facebook, Whatsapp, Instagram, etc, and convert them to sales. Glowro...","Experience range - 2 - 5 Yrs experience
Salary Range - 15 - 25 Lakhs
Notice Period - Less than 30 days.
Tech Stack - Java, SpringBoot, Kafka, Elastic Search, MySql, AWS etc
GlowRoad has 2 days work from office on Monday and Friday. Hence, no remote work from home option.
About GlowRoad:
Glowroad is building India’s most profitable social e-commerce platform where resellers share the catalog of products through their network on Facebook, Whatsapp, Instagram, etc, and convert them to sales. Glowroad is on a mission to create micro-entrepreneurs (resellers) who can set up their web-store, market their products, and track all transactions through GlowRoad’s platform. Glowroad app has ~10M downloads and 1 lakhs DAU’s.
Glowroad has been funded by Accel Partners and recently raised series B+ funding for a total of 24.5 million USD. We are scaling our operations across India.
Glowroad is looking for team members passionate about building platforms for next billion users and reimagine the e-commerce for mobile-first users
A fun, open, energetic, and creative environment. Approachable leadership, filled with passionate people, open communication, and provides high growth for employees.
What are we looking for:
Looking for team members passionate about building platforms for next billion users and re-imagine the e-commerce for mobile-first users. You will be building solutions for personalization, logistics, search & discovery, payments, fraud prevention, and scalability that works and solve problems elegantly.
As Back end developer, we expect you to be motivated in solving real-life complex problems and create compelling experiences for our Resellers. Being a small company we have a culture of creative problem solving, intellectual design, fast-paced development, and passionate product delivery. Enhance or build Restful web services for our mobile app.
Responsibilities:
Develop server-side components, REST APIs
Assume ownership for existing and new modules including design, development, and unit testing for enhancements of existing modules and development of new modules.
Analyse problems logically and exercise sound judgment in defining, evaluating, and solving difficult technical and operational problems where solutions may be of a precedent-establishing nature.
Lead the design and architectural improvements
Participate and collaborate with team members in design discussions, determines areas of complexity, potential risks to successful implementation, suggest enhancements to architecture, implement POCs, and enhance application.
Reduce technical debt with quality coding
Requirements:
A solid grounding in Computer Science fundamentals (based on a BS or MS in CS or related field) from IITs and Premier Engineering College.
Excellent Object Orientation, coupled with excellent problem solving and debugging skills.
Highly skilled at Java and related technologies, including Java Frameworks like Spring-boot or Drop wizard, RESTful web services, JSON, Servlet, JSP, MySQL, MongoDB, Kafka, AWS Solr.
Must have hands-on experience in building scalable and secure back end systems.
Have hands-on experience with systems that are asynchronous, RESTful and demand concurrency
Good to have knowledge of best software engineering practices for all stages of the software development life cycle, including coding standards, code reviews, testing, deployment.
Experience level: 2-4 years of software development experience in Java with web architecture and scalable design
Application Deadline: 10/12/2020
Job Type: Full-time
Salary: ₹1,500,000.00 per year
Experience:
Programming: 5 years (Preferred)
work: 1 year (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No
Speak with the employer
+91 6361596830","['kafka', 'leadership', 'mongodb', 'problem solving', 'spring']",5,0.7455646740605384,62.90499999999999,2.095000000000013,0.9677692307692306,1.0,1.0,0.0,"[72, 467, 404, 490, 487]","[47, 72, 214, 392, 467]","[47, 214, 392]","[404, 490, 487]","['kafka', 'leadership', 'mongodb', 'problem solving', 'spring']","['kafka', 'leadership', 'mongodb', 'problem solving', 'spring']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
5,Backend Developer,"Opening for Backend developer in Cryptocurrency Should have a min of 3-6 yrs of experience in either Node / Go Lang / Mongo / AWS / Lambada etc Location Bangalore (WTC) Compulsory work from office International travel on need basis Mandatory coding test before HR interview Job Type: Full-time Salary: ₹700,000.00 - ₹1,200,000.00 per year Schedule: Day shift Experience: total work: 3 years (Required) Development : 3 years (Required) Education: Bachelor's (Required) Work Remotely: No Speak with the...","Opening for Backend developer in Cryptocurrency
Should have a min of 3-6 yrs of experience in either Node / Go Lang / Mongo / AWS / Lambada etc
Location Bangalore (WTC)
Compulsory work from office
International travel on need basis
Mandatory coding test before HR interview
Job Type: Full-time
Salary: ₹700,000.00 - ₹1,200,000.00 per year
Schedule:
Day shift
Experience:
total work: 3 years (Required)
Development : 3 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
No
Speak with the employer
+91 9611922877","['aws', 'golang']",5,0.6368061412729313,64.33099999999999,0.6690000000000111,0.9897076923076922,1.0,1.0,0.0,"[64, 220, 168, 6, 11]","[64, 220, 34, 342, 56]","[34, 342, 56]","[168, 6, 11]","['aws', 'golang']","['aws', 'golang']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
6,Database Administrator,general purpose general direction position responsible supporting implementation maintenance enterprise asset management system eams includes defining role permission user security access analyzing testing implementing preparing documentation creating report troubleshooting system problem providing user training job posting may used fill multiple position essential function _the following duties_ _are not_ _intended serve comprehensive list duty performed employee classification representative s...,general purpose general direction position responsible supporting implementation maintenance enterprise asset management system eams includes defining role permission user security access analyzing testing implementing preparing documentation creating report troubleshooting system problem providing user training job posting may used fill multiple position essential function _the following duties_ _are not_ _intended serve comprehensive list duty performed employee classification representative summary primary duty responsibility incumbent may required perform duty listed may required perform additional position-specific duties._ administers oversees eams system user enters update troubleshoots system assigns security user monitor system performance participates internal work team task force consultant troubleshoot issue streamline operation create process improvement prepare updated documentation resulting changing requirement provides initial application support end user provides support testing debugging enhancing system maintain documentation training material enhancement performs field acceptance test system upgrades/patches implementation log item tested along result historical recordkeeping build test query internal external auditor public disclosure request provides support maintaining system documentation `` '' level system administration provides training end user related change system including process improvement upgrade serf backup senior eams administrator responsibility employee follow agency safety rule regulation procedure pertaining assigned duty responsibility could include system operation and/or employee responsibility employee integrate sustainability everyday business practice duty assigned minimum qualification education experience associate 's degree information technology facility management maintenance management similar field ; two year experience working computer enterprise asset management system equivalent combination education experience preferred qualification knowledge asset work eams software trapeze enterprise asset management system eams experience facility transit vehicle maintenance procedure system track schedule task complete work experience working database user training support maintenance required license certification none required knowledge functional understanding database utilize reporting project management technique principle principle procedure record keeping report preparation presentation understanding sql-based business application understand asset work related system pertinent state federal regulation ; agency policy procedure rule regulation customer service / technical support modern office procedure method equipment including computer required skill establishing maintaining effective working relationship department staff management vendor outside agency community group general public interpreting administering policy procedure sufficient discus resolve explain staff constituency working steady pressure frequent interruption high degree employee contact phone person understanding interpreting responding end user request providing effective customer service using clear communication skill communicating technical information non-technical user planning implementing completing reporting progress review end result using professional and/or technical concept perform assigned duty solve problem utilizing personal computer software program affecting assigned work managing multiple task setting objectives/goals re-prioritize work meet changing deadline priority responding inquiry using effective oral written communication physical demands/work environment work performed standard office environment subject standing walking bending reaching stooping lifting object 25 pound agency promotes safe healthy work environment provides appropriate safety equipment training personnel required _sound transit equal employment opportunity employer person unlawfully excluded employment action based race color religion national origin sex including gender identity sexual orientation pregnancy age genetic information disability veteran status protected class._,"['communication', 'project management', 'sql']",5,0.8121383215268569,64.5265,0.47350000000000136,0.9927153846153846,1.0,1.0,0.0,"[56, 293, 90, 28, 58]","[56, 293, 261, 218, 90]","[261, 218]","[28, 58]","['communication', 'project management', 'sql']","['communication', 'project management', 'sql']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
7,Database Administrator,job description rare opportunity leverage vision energy acumen shape business decision analytics senior leader fast-paced growing wireless industry experience leadership ambition help transform analytics team servicing intelligence need multi-billion dollar strategic organization key player designing developing implementing maintaining software solution using sql server responsibility ass business requirement develops functional specification develops data related solution develops standard cust...,job description rare opportunity leverage vision energy acumen shape business decision analytics senior leader fast-paced growing wireless industry experience leadership ambition help transform analytics team servicing intelligence need multi-billion dollar strategic organization key player designing developing implementing maintaining software solution using sql server responsibility ass business requirement develops functional specification develops data related solution develops standard custom report using sql server reporting service review query performance optimizing code necessary writes maintains stored procedure function query meant assist organization accessing analyzing business data develops implement etl function process incoming outgoing data transfer document workflow enhancement qa process design code database table store application ’ data also responsible duties/projects assigned business management needed qualification 4-6 year experience developing sql database in-depth understanding data management e.g permission recovery security monitoring bachelor degree computer science minimum qualification • least 18 year age.• legally authorized work united states.• high school diploma ged.• pre-employment background screen company profile america ’ un-carrier t-mobile u inc. nasdaq “ tmus ” redefining way consumer business buy wireless service leading product service innovation company ’ advanced nationwide 4g 4g lte network delivers outstanding wireless experience customer unwilling compromise quality value based bellevue washington t-mobile u provides service subsidiary operates flagship brand t-mobile metropcs information please visit http //www.t-mobile.com eoe statement take equal opportunity seriously - choice t-mobile usa inc. equal opportunity employer decision concerning employment relationship made without regard age race ethnicity color religion creed sex sexual orientation gender identity expression national origin marital status citizenship status veteran status presence physical mental disability status characteristic protected federal state local law discrimination harassment based upon factor wholly inconsistent company value tolerated furthermore discrimination harassment may violate federal state local law,"['etl', 'leadership', 'sql', 'sql server']",5,0.6901433455254276,63.146499999999996,1.853500000000004,0.9714846153846153,1.0,1.0,0.0,"[425, 400, 390, 362, 173]","[425, 400, 463, 390, 44]","[463, 44]","[362, 173]","['etl', 'leadership', 'sql', 'sql server']","['etl', 'leadership', 'sql', 'sql server']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
8,Database Administrator,country place mortgage founded 1995 subsidiary cavco industry inc. national lender providing wide variety financing option purchaser manufactured home cavco industry inc. wa founded 1965 fast growing publicly traded company disrupting manufactured home industry headquartered phoenix arizona cavco leading designer builder manufactured home modular home commercial building park model rv ’ vacation cabin company ’ insurance group standard casualty offer wide range insurance product manufactured hom...,country place mortgage founded 1995 subsidiary cavco industry inc. national lender providing wide variety financing option purchaser manufactured home cavco industry inc. wa founded 1965 fast growing publicly traded company disrupting manufactured home industry headquartered phoenix arizona cavco leading designer builder manufactured home modular home commercial building park model rv ’ vacation cabin company ’ insurance group standard casualty offer wide range insurance product manufactured home owner country place mortgage seller servicer mortgage fannie mae freddie mac fha authorized lender ginnie mae mortgage-backed security issuer employee biggest asset play integral role meeting need customer come part team offering many opportunity utilize talent atmosphere support encourages realize full potential come share helping people realize dream opportunity home ! come share story part building something amazing ! country place mortgage currently looking database administrator work office located addison tx responsible designing building administering maintaining oracle database must able perform daily administration database system prevent outage plan optimized system resource utilization position contribute architectural direction provide expertise design performance database structure assist database performance tuning database capacity issue replication distributed data issue strong understanding sql standard diagnostics performance tuning must responsibility build support oracle database linux based system perform evaluation modification integration function associated vendor supplied database software ensure business continuity developing implementing highly available database system database recovery plan procedure serve resource le experienced team member escalated issue routine nature support oracle database weblogic qualification bachelor ’ degree comparable industry experience 2+ year oracle database experience experience database support iaa paas preferred in-depth understanding database tool utility well highly developed sql database performance tuning skill knowledge computer hardware san/nas networking verbal written communication skill problem solving skill customer service interpersonal skill ability work independently manage one time loan origination/servicing support experience helpful mandatory _cavco industry committed providing equal employment opportunity without regard race color religion sex sexual orientation gender identity national origin age disability protected status respect recruitment hiring promotion term condition employment disclaimer statement intended describe general nature level work performed associate assigned classification construed exhaustive list responsibility duty skill required personnel classified personnel may required perform duty outside normal responsibility time time needed._,"['communication', 'linux', 'oracle', 'sql']",5,0.8558273480318681,63.560500000000005,1.4394999999999953,0.9778538461538462,1.0,1.0,0.0,"[301, 319, 159, 384, 195]","[301, 319, 159, 470, 400]","[470, 400]","[384, 195]","['communication', 'linux', 'oracle', 'sql']","['communication', 'linux', 'oracle', 'sql']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
9,Database Administrator,m.c dean inc. nation ’ premier electrical design-build system integration firm complex mission-critical organization m.c dean ’ capability include electrical electronic security telecommunication life-safety instrumentation control command control system m.c dean inc. serf diverse group market including fortune 1000 corporation ; university ; high tech biotech firm ; federal ; state local government client ; organization large scale complex mission-critical infrastructure need established 1949 m...,m.c dean inc. nation ’ premier electrical design-build system integration firm complex mission-critical organization m.c dean ’ capability include electrical electronic security telecommunication life-safety instrumentation control command control system m.c dean inc. serf diverse group market including fortune 1000 corporation ; university ; high tech biotech firm ; federal ; state local government client ; organization large scale complex mission-critical infrastructure need established 1949 m.c dean inc. ha earned reputation innovator pioneer headquartered dulles virginia m.c dean inc. employ 2500 professional office throughout eastern united state europe middle east m.c dean inc. offer excellent benefit package including competitive salary ; medical dental vision life disability insurance ; paid-time ; tuition reimbursement ; 401k retirement plan military reserve pay offset information company visit www.mcdean.com job duty responsibility < span style= '' font-size:11.0pt ; font-family '' calibri '' '' sans-serif '' ; = '' '' mso-ascii-theme-font minor-latin ; mso-fareast-font- family '' times= '' '' new= '' '' roman '' ; = '' '' mso-hansi-theme-font minor-latin ; mso-bidi- font-family '' times= '' '' mso-ansi-language en-us ; mso-fareast-language en-us ; mso- bidi-language ar-sa ; = '' '' mso-bidi-font-weight bold ; ; '' = '' '' > technical specialist demonstrate following capability manage physical security system support meet service level agreement analyze physical security system performance recommend improvement resolve complex system issue physical security system network provide tier 3 support system administration team programming integrating entire system global level using advanced knowledge networking principal system administration skill troubleshoot system operating system communicate customer manufacturer vendor system administrator train system user system support personnel analyze modify preventive maintenance checklist system change troubleshoot system performance issue implement corrective action perform preventive maintenance action including system back-ups error log review database size integrity check organize prepare detailed documentation system performance including service request record analysis perform desktop hardware operating system set-up imaging software loading antivirus update conduct depth research evaluate research technical specialist order evaluate existing future system perform manage pitco 's perform final programming system provide site system support post deployment read interpret engineering drawing understand sop sow documentation ensure test lab equipment maintained assisting annual performance evaluation ensure availability remote pitco remote access interface engineering team ensure design efficiency interface internal external customer provide advanced level database support conduct research development entire system analyze interoperability constructability scenario delegating task providing support level ii electronics technical specialist using 60 90 design develop build pitco read blue print schematic statement work sow ensuring pitco build adhere statement work sow coordinate field personnel and/or engineering team discus potential installation issue answer support call help field personnel system administrator installation issue encountered job site document support call internal support system imms ; ensuring ticket addressed closed conduct research development new system manufacturer i.e access control intrusion detection closed circuit television system perform duty minimal direct supervision specific position requirement follows requires ten 10 + year experience installation troubleshooting testing electronic security system requires one 1 + year experience administrating enterprise level access control system requires system administrator experience performing triage system problem resolving system problem analyzing system data prevent problem implementing new workstation system extension requires bachelor 's degree technical discipline h diploma/ged coupled three 3 additional year security system experience requires reliable attendance customer site work hour required customer requires ability work flexible schedule includes occasional night weekend requires minimal travel specific desired experience skill certification follows certification ccure 9000 access control system certification dvtel digital video system experience programming/administrating digital video system microsoft sql server microsoft server 2008 experience dell storage area network brocade cisco network equipment symantec netbackup software configure manage unix window operating system install load system operating software ccna a+ network+ certification,"['sql', 'sql server']",5,0.7972962231722807,62.61750000000001,2.382499999999993,0.963346153846154,1.0,1.0,0.0,"[173, 169, 335, 407, 327]","[173, 169, 335, 377, 372]","[377, 372]","[407, 327]","['sql', 'sql server']","['sql', 'sql server']",[],[],1,1,0,0,"At least one high-score candidate was excluded, indicating a constraint-driven selection trade-off."
